term,chinese
Son of Heaven,天子（对皇帝的尊称）
the Mandate of Heaven,天命（君权天授的政治观念）
the Middle Kingdom,中国（"中央之国"之意的旧译）
to kowtow,叩头，磕头行大礼
to lose face,丢脸，失了颜面
to save face,保全颜面
this humble one,在下，小的（自谦说法）
your servant,奴才，卑职（自称谦辞）
this unworthy one,不肖，晚生（自谦说法）
this lowly one,贱妾，卑贱之人（女子自谦）
old master,老爷（对男主人的尊称）
young master,少爷（对主人家少爷的尊称）
madam,夫人，太太
your ladyship,夫人，奶奶（尊称）
Your Excellency,大人，阁下
this official,卑职，下官（官员自称）
social face,面子，颜面
unfilial,忤逆，不孝
the eight trigrams,八卦
yin and yang,阴阳
feng shui,风水
the Five Elements,五行
an auspicious day,黄道吉日
an ill omen,凶兆
to burn incense,焚香，上香
ancestor worship,祭祖
to kowtow nine times,行三跪九叩大礼
red envelope,红包，利是
Buddhist monk,和尚
Daoist priest,道士
Amitabha,阿弥陀佛（佛教感叹语）
Good Heavens!,我的老天！
Heavens above!,天哪！
by the grace of Heaven,托天之福
this old servant,老奴（年长仆从自称）
long live the emperor,吾皇万岁
ten thousand years,万岁（祝颂皇帝之语）
the Son of Heaven's grace,天恩，皇恩
Heaven and Earth,天地
retribution,报应
karma,因果，业报
to burn paper money,烧纸钱
geomancy,风水堪舆之术
the lunar calendar,农历
the twelve earthly branches,十二地支
the ten heavenly stems,十天干
a fortunate sign,吉兆
an inauspicious sign,不祥之兆
