term,chinese
Nanjing,南京（明初都城，别称金陵、应天府）
Nanking,南京（威妥玛拼音旧译）
Peking,北京（明成祖迁都后的京师）
Beiping,北平（燕王朱棣封地，即后来的北京）
Yingtian prefecture,应天府（明初京师，今南京一带）
Shuntian prefecture,顺天府（明代北京及周边行政区划名）
Jinling,金陵（南京古称）
Jiangnan,江南（长江以南地区）
the Grand Canal,大运河（贯通南北的漕运水道）
Qinhuai River,秦淮河（南京古城内河，风月繁华之地）
West Lake,西湖（杭州名胜）
Purple Mountain,紫金山（南京钟山）
Suzhou,苏州
Hangzhou,杭州
Yangzhou,扬州
Huizhou,徽州
Songjiang,松江（今上海一带，明代棉纺织重镇）
Shandong,山东
Shanxi,山西
Henan,河南
Shaanxi,陕西
Sichuan,四川
Yunnan,云南
Guizhou,贵州
Guangdong,广东
Guangxi,广西
Fujian,福建
Zhejiang,浙江
Jiangxi,江西
Hubei,湖北
Hunan,湖南
the Forbidden City,紫禁城（明清皇宫）
the Imperial Palace,皇宫，宫城
the Ming Great Wall,明长城
Shanhai Pass,山海关（长城东端要隘）
Juyong Pass,居庸关（长城重要关隘，京师门户）
the Thirteen Ming Tombs,明十三陵
the Temple of Heaven,天坛（皇帝祭天之所）
the Altar of Land and Grain,社稷坛
Wuhu,芜湖
Macau,澳门（明代葡萄牙人通商口岸）
Canton,广州（威妥玛拼音旧译）
the Western Regions,西域
the Central Plains,中原
the Southern Capital,南京（陪都，与北京相对）
the Northern Capital,北京（京师）
Liaodong,辽东
the Nine Frontier Garrisons,九边（明代北方九大边防重镇）
